city,lat,lng,country,iso2,admin,capital,population,population_proper,PROVINCE_CODE
Toronto,43.666667,-79.416667,Canada,CA,Ontario,admin,5213000,3934421,ON
MontrÃ©al,45.5,-73.583333,Canada,CA,QuÃ©bec,,3678000,2356556,QC
Vancouver,49.25,-123.133333,Canada,CA,British Columbia,,2313328,603502,BC
Ottawa,45.416667,-75.7,Canada,CA,Ontario,primary,1145000,812129,ON
Calgary,51.083333,-114.083333,Canada,CA,Alberta,,1110000,915322,AB
Edmonton,53.55,-113.5,Canada,CA,Alberta,admin,1058000,712391,AB
Hamilton,43.256101,-79.857484,Canada,CA,Ontario,,721053,519949,ON
Winnipeg,49.883333,-97.166667,Canada,CA,Manitoba,admin,632063,575313,MB
QuÃ©bec,46.8,-71.25,Canada,CA,QuÃ©bec,admin,624177,528595,QC
Oshawa,43.9,-78.866667,Canada,CA,Ontario,,450963,247989,ON
Kitchener,43.446976,-80.472484,Canada,CA,Ontario,,417001,409112,ON
Halifax,44.65,-63.6,Canada,CA,Nova Scotia,admin,359111,222874,NS
London,42.983333,-81.25,Canada,CA,Ontario,,346765,335035,ON
Windsor,42.301649,-83.030744,Canada,CA,Ontario,,319246,210891,ON
Victoria,48.450234,-123.343529,Canada,CA,British Columbia,admin,289625,251358,BC
Saskatoon,52.133333,-106.666667,Canada,CA,Saskatchewan,,198958,189193,SK
Barrie,44.383333,-79.7,Canada,CA,Ontario,,182041,119732,ON
Regina,50.45,-104.616667,Canada,CA,Saskatchewan,admin,176183,176183,SK
Sudbury,46.5,-80.966667,Canada,CA,Ontario,,157857,80507,ON
Abbotsford,49.05,-122.3,Canada,CA,British Columbia,,151683,151683,BC
Sarnia,42.978417,-82.388177,Canada,CA,Ontario,,144172,82998,ON
Sherbrooke,45.4,-71.9,Canada,CA,QuÃ©bec,,139652,129447,QC
Saint Johnâ€™s,47.55,-52.666667,Canada,CA,Newfoundland and Labrador,admin,131469,99182,NL
Kelowna,49.9,-119.483333,Canada,CA,British Columbia,,125109,95306,BC
Trois-RiviÃ¨res,46.35,-72.55,Canada,CA,QuÃ©bec,,119693,116409,QC
Kingston,44.3,-76.566667,Canada,CA,Ontario,,114195,102400,ON
Thunder Bay,48.4,-89.233333,Canada,CA,Ontario,,99334,97374,ON
Moncton,46.09652,-64.79757,Canada,CA,New Brunswick,,90635,87467,NB
Saint John,45.230798,-66.095316,Canada,CA,New Brunswick,,87857,54449,NB
Nanaimo,49.15,-123.916667,Canada,CA,British Columbia,,84905,80491,BC
Peterborough,44.3,-78.333333,Canada,CA,Ontario,,83627,75877,ON
Saint-JÃ©rÃ´me,45.766667,-74,Canada,CA,QuÃ©bec,,78439,54948,QC
Red Deer,52.266667,-113.8,Canada,CA,Alberta,,74857,73593,AB
Lethbridge,49.7,-112.833333,Canada,CA,Alberta,,70617,58571,AB
Kamloops,50.666667,-120.333333,Canada,CA,British Columbia,,68714,68628,BC
Prince George,53.916667,-122.766667,Canada,CA,British Columbia,,65558,62707,BC
Medicine Hat,50.033333,-110.683333,Canada,CA,Alberta,,63138,53626,AB
Drummondville,45.883333,-72.483333,Canada,CA,QuÃ©bec,,59489,54123,QC
Chicoutimi,48.45,-71.066667,Canada,CA,QuÃ©bec,,53940,53940,QC
Fredericton,45.910648,-66.658649,Canada,CA,New Brunswick,admin,52337,36713,NB
Chilliwack,49.166667,-121.95,Canada,CA,British Columbia,,51942,51942,BC
North Bay,46.3,-79.45,Canada,CA,Ontario,,50170,41807,ON
Shawinigan-Sud,46.528557,-72.751453,Canada,CA,QuÃ©bec,,49161,34342,QC
Cornwall,45.016667,-74.733333,Canada,CA,Ontario,,48821,46382,ON
Joliette,46.034,-73.441,Canada,CA,QuÃ©bec,,45361,34772,QC
Belleville,44.166667,-77.383333,Canada,CA,Ontario,,43990,43990,ON
Charlottetown,46.238225,-63.139481,Canada,CA,Prince Edward Island,admin,42402,31293,PE
Victoriaville,46.063106,-71.958802,Canada,CA,QuÃ©bec,,41500,34426,QC
Grande Prairie,55.166667,-118.8,Canada,CA,Alberta,,41462,40845,AB
Penticton,49.5,-119.583333,Canada,CA,British Columbia,,37721,30349,BC
Sydney,46.15,-60.166667,Canada,CA,Nova Scotia,,37538,37538,NS
Orillia,44.6,-79.416667,Canada,CA,Ontario,,37483,30178,ON
Rimouski,48.433333,-68.516667,Canada,CA,QuÃ©bec,,35584,35584,QC
Timmins,48.466667,-81.333333,Canada,CA,Ontario,,34974,32901,ON
Prince Albert,53.2,-105.75,Canada,CA,Saskatchewan,,34609,24678,SK
Campbell River,50.016667,-125.25,Canada,CA,British Columbia,,33430,26453,BC
Courtenay,49.683333,-125,Canada,CA,British Columbia,,32793,25099,BC
Orangeville,43.916366,-80.096671,Canada,CA,Ontario,,32640,28984,ON
